row	column	value
1	1	-0.010479411479625342
1	2	0.2261006232016175
1	3	0.19855550401781416
1	4	-0.12334300823773732
1	5	-0.12447646712163137
2	1	0.22262138638904744
2	2	0.332746259352045
2	3	0.1023835284681264
2	4	-0.18186424061668738
2	5	0.01395793848408375
3	1	0.18463855676753382
3	2	0.08543627818754304
3	3	-0.12776437185350784
3	4	-0.08094355945891982
3	5	0.3305879782041192
4	1	-0.15858431014570554
4	2	-0.2357362944887408
4	3	-0.12566858751728094
4	4	0.27144304291979837
4	5	0.6884484239106372
5	1	-0.19765267363117095
5	2	-0.1046166967572178
5	3	0.2055599198427278
5	4	0.6016358537647337
5	5	0.826717731545858
